image,condition,prompt_index,prompt,block,r_min,quantile,target_image,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
cat_00,add,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/gray.png,human,human,0.00872,False,0.00471,41.4,0.0699,0.9987,0.0087,51.1826,0.997,5.5324,0.7053,0.1197,0.3509,0.3302,0.0207,0.1549,0.1585,-0.0036,,
cat_00,phase,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/gray.png,human,human,0.04762,False,1.3,24.8,0.1254,0.9745,0.0476,34.9578,0.9955,5.3978,0.6307,0.2965,0.3509,0.3335,0.0174,0.1549,0.1365,0.0184,0.0085,0.2933
cat_00,phase_rand,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/gray.png,human,human,0.05773,False,1.3,10.6,0.0423,0.9775,0.0577,35.5952,0.9943,5.2554,0.6195,0.0612,0.3509,0.359,-0.0081,0.1549,0.1544,0.0005,0.0087,0.2933
parrot_00,add,0,a parrot perched on a branch in a rainforest,32,0.12,0.5,data/targets/gray.png,human,human,0.01457,False,0.00471,25.0,0.25,0.9968,0.0146,48.408,0.9867,5.6694,0.7009,0.3778,0.2992,0.3185,-0.0193,0.1067,0.1023,0.0044,,
parrot_00,phase,0,a parrot perched on a branch in a rainforest,32,0.12,0.5,data/targets/gray.png,human,human,0.02684,False,1.3,25.2,0.1002,0.978,0.0268,35.8899,0.9948,5.4795,0.6799,0.2822,0.2992,0.3232,-0.024,0.1067,0.1084,-0.0016,0.00914,0.3366
parrot_00,phase_rand,0,a parrot perched on a branch in a rainforest,32,0.12,0.5,data/targets/gray.png,human,human,0.03555,False,1.3,10.8,0.0485,0.9791,0.0356,36.1002,0.9943,5.1678,0.6693,0.0427,0.2992,0.2989,0.0004,0.1067,0.1067,0.0,0.0098,0.3366
person_a_00,add,0,Barack Obama,32,0.12,0.5,data/targets/gray.png,human,human,0.00796,False,0.00471,25.2,0.2596,0.9976,0.008,47.7689,0.9993,5.3326,0.6425,0.4185,0.2651,0.2797,-0.0147,0.1061,0.1063,-0.0002,,
person_a_00,phase,0,Barack Obama,32,0.12,0.5,data/targets/gray.png,human,human,0.03629,False,1.3,25.4,0.2061,0.974,0.0363,33.2383,0.9926,4.8881,0.6237,0.6473,0.2651,0.2713,-0.0062,0.1061,0.1061,0.0,0.01748,0.3846
person_a_00,phase_rand,0,Barack Obama,32,0.12,0.5,data/targets/gray.png,human,human,0.04821,False,1.3,10.9,0.0666,0.9755,0.0482,34.2234,0.9964,4.9944,0.5889,0.1615,0.2651,0.2622,0.0028,0.1061,0.1056,0.0006,0.01558,0.3846
person_b_00,add,0,Morgan Freeman,32,0.12,0.5,data/targets/gray.png,human,human,0.01077,False,0.00471,25.1,0.217,0.9972,0.0108,47.7367,0.9974,4.7466,0.6578,0.2448,0.3042,0.3075,-0.0033,0.1069,0.1009,0.006,,
person_b_00,phase,0,Morgan Freeman,32,0.12,0.5,data/targets/gray.png,human,human,0.03105,False,1.3,25.4,0.2633,0.9679,0.0311,35.8628,0.9981,4.5207,0.622,0.3809,0.3042,0.3073,-0.0032,0.1069,0.125,-0.0182,0.01345,0.4646
