source,kind,strength,level,niqe,musiq,clipiqa,topiq_nr
e29c_C_tau0.10/car_00__C__r32,none,0.0,0,2.9966156261606227,77.24897003173828,0.6208894848823547,0.795017421245575
e29c_C_tau0.10/car_00__C__r32,blur,0.5,1,2.8598594114424225,74.7914047241211,0.42024222016334534,0.6564220786094666
e29c_C_tau0.10/car_00__C__r32,blur,1.0,2,4.839102090555792,54.10810852050781,0.3265730142593384,0.3028334379196167
e29c_C_tau0.10/car_00__C__r32,blur,2.0,3,7.071286761801074,29.16676139831543,0.33387473225593567,0.15187421441078186
e29c_C_tau0.10/car_00__C__r32,blur,4.0,4,10.623004859740172,16.12923240661621,0.26632916927337646,0.07975157350301743
e29c_C_tau0.10/car_00__C__r32,jpeg,80,1,2.5435731824986845,76.97142791748047,0.5398058295249939,0.7243696451187134
e29c_C_tau0.10/car_00__C__r32,jpeg,50,2,2.8550669455889333,75.41329193115234,0.5209850668907166,0.6021624207496643
e29c_C_tau0.10/car_00__C__r32,jpeg,30,3,3.5561321217469204,72.70733642578125,0.4834737777709961,0.5327032208442688
e29c_C_tau0.10/car_00__C__r32,jpeg,10,4,5.610546123777522,56.74714279174805,0.23695889115333557,0.3675290048122406
e29c_C_tau0.10/car_00__C__r32,noise,0.02,1,3.9616547390726553,75.34134674072266,0.6017313003540039,0.6390913128852844
e29c_C_tau0.10/car_00__C__r32,noise,0.05,2,5.553818821579523,64.75919342041016,0.45245495438575745,0.495134562253952
e29c_C_tau0.10/car_00__C__r32,noise,0.1,3,8.083479115027822,52.81958770751953,0.26421093940734863,0.36571380496025085
e29c_C_tau0.10/car_00__C__r32,noise,0.2,4,13.811709120274783,41.72481918334961,0.26676222681999207,0.2417430877685547
e29c_C_tau0.10/car_00__C__r32,quantize,64,1,3.018053930486233,77.2061767578125,0.6198908686637878,0.7858500480651855
e29c_C_tau0.10/car_00__C__r32,quantize,16,2,4.21885504878412,76.34258270263672,0.4999382197856903,0.7104417085647583
e29c_C_tau0.10/car_00__C__r32,quantize,8,3,6.329287415253483,75.68727111816406,0.4229751527309418,0.6699339151382446
e29c_C_tau0.10/car_00__C__r32,quantize,4,4,10.451162093500082,67.27659606933594,0.2951149046421051,0.6264875531196594
e29c_P_tau0.10/car_00__P__r16,none,0.0,0,2.9966156261606227,77.24897003173828,0.6208894848823547,0.795017421245575
e29c_P_tau0.10/car_00__P__r16,blur,0.5,1,2.8598594114424225,74.7914047241211,0.42024222016334534,0.6564220786094666
e29c_P_tau0.10/car_00__P__r16,blur,1.0,2,4.839102090555792,54.10810852050781,0.3265730142593384,0.3028334379196167
e29c_P_tau0.10/car_00__P__r16,blur,2.0,3,7.071286761801074,29.16676139831543,0.33387473225593567,0.15187421441078186
e29c_P_tau0.10/car_00__P__r16,blur,4.0,4,10.623004859740172,16.12923240661621,0.26632916927337646,0.07975157350301743
e29c_P_tau0.10/car_00__P__r16,jpeg,80,1,2.5435731824986845,76.97142791748047,0.5398058295249939,0.7243696451187134
e29c_P_tau0.10/car_00__P__r16,jpeg,50,2,2.8550669455889333,75.41329193115234,0.5209850668907166,0.6021624207496643
e29c_P_tau0.10/car_00__P__r16,jpeg,30,3,3.5561321217469204,72.70733642578125,0.4834737777709961,0.5327032208442688
e29c_P_tau0.10/car_00__P__r16,jpeg,10,4,5.610546123777522,56.74714279174805,0.23695889115333557,0.3675290048122406
e29c_P_tau0.10/car_00__P__r16,noise,0.02,1,3.9616547390726553,75.34134674072266,0.6017313003540039,0.6390913128852844
e29c_P_tau0.10/car_00__P__r16,noise,0.05,2,5.553818821579523,64.75919342041016,0.45245495438575745,0.495134562253952
e29c_P_tau0.10/car_00__P__r16,noise,0.1,3,8.083479115027822,52.81958770751953,0.26421093940734863,0.36571380496025085
e29c_P_tau0.10/car_00__P__r16,noise,0.2,4,13.811709120274783,41.72481918334961,0.26676222681999207,0.2417430877685547
e29c_P_tau0.10/car_00__P__r16,quantize,64,1,3.018053930486233,77.2061767578125,0.6198908686637878,0.7858500480651855
e29c_P_tau0.10/car_00__P__r16,quantize,16,2,4.21885504878412,76.34258270263672,0.4999382197856903,0.7104417085647583
e29c_P_tau0.10/car_00__P__r16,quantize,8,3,6.329287415253483,75.68727111816406,0.4229751527309418,0.6699339151382446
e29c_P_tau0.10/car_00__P__r16,quantize,4,4,10.451162093500082,67.27659606933594,0.2951149046421051,0.6264875531196594
