image,attack,n_seeds,edit_psnr,edit_ssim,edit_vif_p,edit_fsim,edit_lpips,pert_linf,pert_lpips,mask_coverage,seconds,peak_mb
man_00,pg_encoder,20,19.14567928314209,0.7903624027967453,0.49558101445436475,0.8062651336193085,0.4640254020690918,0.06000000238418579,0.6551913022994995,,6.9,7413.8
man_00,pg_diffusion,20,20.186301898956298,0.5591477289795875,0.0667674943804741,0.7415359377861023,0.674925011396408,0.06000000238418579,0.6648316383361816,,206.9,11557.1
man_00,semantic,20,23.896158981323243,0.6296773314476013,0.07650930322706699,0.7756957948207855,0.5793818473815918,0.06000000238418579,0.5992450714111328,0.25830078125,121.3,8777.4
man_01,pg_encoder,20,17.400064277648926,0.4102569937705994,0.18884035274386407,0.6207814902067185,0.6653052121400833,0.06000000238418579,0.49778667092323303,,6.9,8776.5
man_01,pg_diffusion,20,17.716795253753663,0.48253125995397567,0.10283212289214134,0.7563901841640472,0.560980373620987,0.06000000238418579,0.45722639560699463,,207.1,11556.1
man_01,semantic,20,18.048766040802,0.5191532328724862,0.0989333625882864,0.7836441040039063,0.5343532025814056,0.06000000238418579,0.4732275605201721,0.119140625,123.0,8777.4
man_02,pg_encoder,20,15.92111611366272,0.5004753530025482,0.1578575514256954,0.7130047053098678,0.5353775963187217,0.06000000238418579,0.43815773725509644,,6.7,8777.5
man_02,pg_diffusion,20,15.598359632492066,0.4887729659676552,0.08209046460688114,0.7812547951936721,0.5323136538267136,0.06000000238418579,0.4105619788169861,,207.2,11557.1
man_02,semantic,20,15.41850299835205,0.5077977985143661,0.077090298011899,0.7871803849935531,0.4948867172002792,0.06000000238418579,0.41487905383110046,0.381591796875,123.9,8778.4
man_03,pg_encoder,20,16.418774223327638,0.3451602071523666,0.17127046659588813,0.5624921321868896,0.5806023150682449,0.06000000238418579,0.4579266309738159,,6.8,8776.5
man_03,pg_diffusion,20,17.126746654510498,0.44748921543359754,0.07721109949052334,0.7681593716144561,0.5254102319478988,0.06000000238418579,0.41827312111854553,,205.1,11556.1
man_03,semantic,20,19.589205932617187,0.46542597860097884,0.07460147589445114,0.796241620182991,0.44450404196977616,0.06000000238418579,0.3776586651802063,0.063720703125,122.1,8777.4
woman_00,pg_encoder,20,17.909137058258057,0.4501241832971573,0.3417951434850693,0.7078677594661713,0.6431745409965515,0.06000000238418579,0.585769772529602,,6.8,8776.5
woman_00,pg_diffusion,20,18.90668182373047,0.4608639255166054,0.11201121248304843,0.7664908349514008,0.6704958617687226,0.06000000238418579,0.572346568107605,,207.8,11556.1
woman_00,semantic,20,20.59469327926636,0.5427373588085175,0.12353706434369087,0.7937743037939071,0.5990074932575226,0.06000000238418579,0.5488358736038208,0.5595703125,122.0,8777.4
